iteration,timesteps,mean_population_return,gbest_fitness,mean_velocity,time_pso_cumulative,time_total_cumulative
0,3996,-52.06994932684702,-51.53149679025295,0.09754747917343463,0.0016341209411621094,0.9504208564758301
1,7992,-52.54365391883606,-51.1573310669031,0.09434130621541822,0.0032486915588378906,1.8605189323425293
2,11988,-51.81067557784016,-50.876808911596825,0.0763422562408128,0.004857540130615234,2.7647814750671387
3,15984,-51.40404740157524,-50.74334277047596,0.09007231864546027,0.006457805633544922,3.6663925647735596
4,19980,-51.06789037760822,-47.177930379064755,0.08379039790348283,0.008080005645751953,4.569110631942749
5,23976,-51.980519580983035,-47.177930379064755,0.07515235584495322,0.00970911979675293,5.491828441619873
6,27972,-52.03910258214554,-47.177930379064755,0.07566992047109775,0.011332035064697266,6.394991636276245
7,31968,-52.52345398496183,-47.177930379064755,0.06538488917950808,0.012980937957763672,7.317957639694214
8,35964,-51.88825086306329,-47.177930379064755,0.07287883924852524,0.016023635864257812,8.239723443984985
9,39960,-52.20457974901843,-47.177930379064755,0.06273771480690421,0.017723560333251953,9.151546001434326
10,43956,-52.66269289668672,-47.177930379064755,0.0669346743629181,0.019344568252563477,10.053609848022461
11,47952,-53.16244448439313,-47.177930379064755,0.05905855633734193,0.020978212356567383,10.957847356796265
12,51948,-50.96332809776392,-47.177930379064755,0.0625591160829312,0.022591352462768555,11.862491130828857
13,55944,-51.8369729834982,-47.177930379064755,0.05760216063520472,0.024207115173339844,12.76872706413269
14,59940,-51.87055632940404,-47.177930379064755,0.052025548115904846,0.025876760482788086,13.678044557571411
15,63506,-22.02976324954568,72.05039933759429,0.051918331107507196,0.027523517608642578,14.482699632644653
16,67502,-51.45845745396043,72.05039933759429,0.046587165137420276,0.029170989990234375,15.395329475402832
17,71498,-51.2971876197095,72.05039933759429,0.044562809472803826,0.030866622924804688,16.298213005065918
18,75494,-51.38672825255027,72.05039933759429,0.04578802378715149,0.03246116638183594,17.199171543121338
19,79490,-51.79748948456348,72.05039933759429,0.03754886404099774,0.03406667709350586,18.1061429977417
20,83486,-51.47155344258353,72.05039933759429,0.03537099542778119,0.0356905460357666,19.01522445678711
21,87415,-25.73259895074736,72.05039933759429,0.03189743564040068,0.0372929573059082,19.900003671646118
22,91411,-51.89149564660706,72.05039933759429,0.03407506590260059,0.03891158103942871,20.804734706878662
23,95407,-52.5257800328887,72.05039933759429,0.03183539410903385,0.040506839752197266,21.713821411132812
24,99403,-51.71410536638442,72.05039933759429,0.033556672145745585,0.04210853576660156,22.621777296066284
25,103399,-50.46212508749163,72.05039933759429,0.0263688064442249,0.04372572898864746,23.53047513961792
26,107395,-52.46315518721199,72.05039933759429,0.0318252039973491,0.04536890983581543,24.44460153579712
27,111391,-52.09005233861084,72.05039933759429,0.027135635732390383,0.047007083892822266,25.35291051864624
28,115387,-51.100464740184705,72.05039933759429,0.02912792885347569,0.04865002632141113,26.26619553565979
29,119383,-50.886208546943706,72.05039933759429,0.027192889312573243,0.05027008056640625,27.181138515472412
30,123379,-52.566797282390866,72.05039933759429,0.025697616886385992,0.05186605453491211,28.093581438064575
31,127248,-24.842677321023015,72.05039933759429,0.025866029662146114,0.05349588394165039,28.973527193069458
32,131244,-51.24798491764302,72.05039933759429,0.025944154317195562,0.055167436599731445,29.874486446380615
33,135071,-24.864730116377302,72.05039933759429,0.02337728660911255,0.05676674842834473,30.745771884918213
34,139067,-51.80996073072938,72.05039933759429,0.024191842300621963,0.05837750434875488,31.646966695785522
35,143063,-52.544058846448735,72.05039933759429,0.02495687665837717,0.05999922752380371,32.553531885147095
36,147059,-51.13674127218744,72.05039933759429,0.022378418327986895,0.06161642074584961,33.45622897148132
37,151055,-50.651659194960885,72.05039933759429,0.022111742872116986,0.06324648857116699,34.367435693740845
38,155051,-52.6665338264065,72.05039933759429,0.022238090134383777,0.06487536430358887,35.2739360332489
39,159047,-52.22830016620098,72.05039933759429,0.021947892779800374,0.06648755073547363,36.18648624420166
40,163043,-51.11976281561702,72.05039933759429,0.02609525318881164,0.06810879707336426,37.09826350212097
41,167039,-51.2065675131416,72.05039933759429,0.021954720119278397,0.06974434852600098,38.00562405586243
42,171035,-53.29057757806021,72.05039933759429,0.02349675833803693,0.07137417793273926,38.91555666923523
43,175031,-52.74243106145414,72.05039933759429,0.02452688468656561,0.07385993003845215,39.84996199607849
44,178845,-24.994834545875342,72.05039933759429,0.023940749579716272,0.07549715042114258,40.72858548164368
45,182841,-51.528108168168124,72.05039933759429,0.024285050283391944,0.07712483406066895,41.632537841796875
46,186600,-24.454525219550934,72.05039933759429,0.021785724675672618,0.07875204086303711,42.48416471481323
47,190596,-50.69235470070611,72.05039933759429,0.019955188867502978,0.0803842544555664,43.3924458026886
48,194592,-53.55210591875351,72.05039933759429,0.02331765100305867,0.08200716972351074,44.29840970039368
49,198588,-52.009139097483626,72.05039933759429,0.017109474623534227,0.0836186408996582,45.203404664993286
50,202584,-51.1638120401771,72.05039933759429,0.024155616150827494,0.08524370193481445,46.10842752456665
51,206580,-51.964978908945604,72.05039933759429,0.016753567235095294,0.08688473701477051,47.03914523124695
52,210576,-52.333167157279654,72.05039933759429,0.023849863195209764,0.08851408958435059,47.94991207122803
53,214572,-52.30494904935205,72.05039933759429,0.016512117074983377,0.09013581275939941,48.859110593795776
54,218568,-51.52211656018963,72.05039933759429,0.023270886026563988,0.09180402755737305,49.7727267742157
55,222564,-50.75214699370464,72.05039933759429,0.02075031388234752,0.09342098236083984,50.67491865158081
56,226560,-50.765069091450734,72.05039933759429,0.01749389661206026,0.09505414962768555,51.5795693397522
57,230324,-23.272417475131242,72.05039933759429,0.019143630768374872,0.09666275978088379,52.42767786979675
58,233970,-22.41413652743301,72.05039933759429,0.015334798509237708,0.09827589988708496,53.2456316947937
59,237966,-52.4014794534072,72.05039933759429,0.016561302775828936,0.09999656677246094,54.1692590713501
60,241962,-51.11220693995154,72.05039933759429,0.01562702050568987,0.10162830352783203,55.076098918914795
61,245958,-53.03212276397062,72.05039933759429,0.014559923652322077,0.10324621200561523,55.98716592788696
62,249954,-50.785272759084,72.05039933759429,0.017388217593959,0.10486364364624023,56.89301586151123
63,253950,-52.09689641278176,72.05039933759429,0.015814227121609292,0.10655450820922852,57.79901671409607
64,257946,-51.86566777903118,72.05039933759429,0.017653045962366117,0.10817742347717285,58.709139823913574
65,261942,-52.00649537973942,72.05039933759429,0.015680379963149402,0.10980463027954102,59.614235639572144
66,265938,-51.811410526742236,72.05039933759429,0.016249803681960526,0.11143112182617188,60.51862978935242
67,269934,-50.93052338173635,72.05039933759429,0.015517837672242811,0.11305665969848633,61.420459032058716
68,273930,-52.25276881928007,72.05039933759429,0.014195190174762371,0.11467766761779785,62.327775955200195
69,277816,-25.414723833150234,72.05039933759429,0.014067867654245805,0.1163034439086914,63.214760303497314
70,281812,-50.87436107682902,72.05039933759429,0.01418201268552366,0.11792182922363281,64.11768174171448
71,285808,-51.1867511039297,72.05039933759429,0.011354767972079571,0.11952900886535645,65.02334141731262
72,289804,-51.09913512443909,72.05039933759429,0.013269308485632791,0.12111711502075195,65.92327952384949
73,293800,-50.43758170952928,72.05039933759429,0.01344257281406109,0.1227421760559082,66.82615852355957
74,297796,-51.353164995466294,72.05039933759429,0.01315681829974632,0.1243736743927002,67.73467302322388
75,301792,-51.9734883881775,72.05039933759429,0.013470406554964547,0.1260969638824463,68.65131497383118
76,305788,-50.92187189022433,72.05039933759429,0.012885005321745018,0.1277327537536621,69.55335021018982
77,309784,-51.381518501566255,72.05039933759429,0.012938005162660764,0.12935280799865723,70.46240758895874
78,313780,-51.91221243861907,72.05039933759429,0.011949240406547039,0.13098740577697754,71.36266827583313
79,317776,-52.29581283456275,72.05039933759429,0.01225553414652885,0.1326582431793213,72.26449084281921
80,321772,-51.08988262650686,72.05039933759429,0.010354522595792202,0.13426756858825684,73.16926097869873
81,325768,-51.138946100083636,72.05039933759429,0.012133471419084734,0.13589048385620117,74.07628107070923
82,329764,-51.878367478771985,72.05039933759429,0.010141098450113921,0.13751864433288574,74.97776222229004
83,333760,-51.197657689734434,72.05039933759429,0.012323362525681399,0.13917326927185059,75.88308477401733
