iteration,timesteps,mean_population_return,gbest_fitness,mean_velocity,time_pso_cumulative,time_total_cumulative
0,3996,-50.99885771684233,-50.38352577561951,0.1425559380690434,0.002492666244506836,1.6898159980773926
1,7992,-54.07157221874447,-50.38352577561951,0.12218474167665201,0.0048825740814208984,3.376591920852661
2,11988,-53.86018612204096,-50.38352577561951,0.11490158412405954,0.0073468685150146484,5.0604567527771
3,15984,-55.9104144095847,-50.38352577561951,0.1559957331545385,0.009770631790161133,6.753488063812256
4,19980,-54.32533372692449,-50.38352577561951,0.14865817026501255,0.01223134994506836,8.433263301849365
5,23976,-54.1754114663387,-50.38352577561951,0.1676450716872101,0.014637231826782227,10.114772319793701
6,27972,-52.409556743487826,-50.38352577561951,0.15994225931353867,0.016478776931762695,11.788955211639404
7,31968,-59.04144249350377,-50.38352577561951,0.19114062792089367,0.0188601016998291,13.445900201797485
8,35964,-52.34939194486208,-50.38352577561951,0.17661131003738512,0.021338939666748047,15.137394666671753
9,39960,-52.979897800517044,-50.14374027151208,0.2760705801525286,0.02380967140197754,16.82548761367798
10,43956,-58.485349872251646,-50.14374027151208,0.25761895400605034,0.02623152732849121,18.512296676635742
11,47952,-63.785899965091325,-50.14374027151208,0.2557215157430619,0.028638362884521484,20.19387650489807
12,51948,-55.44335136203665,-50.14374027151208,0.28088184043632025,0.03104877471923828,21.88157844543457
13,55944,-59.5068212539765,-50.14374027151208,0.2942922359132873,0.03349566459655762,23.575390100479126
14,59940,-61.06672464088114,-50.14374027151208,0.31477624590375597,0.03525590896606445,25.220013856887817
15,63936,-64.8868578289217,-50.14374027151208,0.3039681957369404,0.03769683837890625,26.91054630279541
16,67932,-55.740621164281734,-47.550385819138484,0.3770683619992009,0.040152549743652344,28.59473991394043
17,71495,-8.116185453983523,61.43500097323123,0.34817521034606863,0.04259133338928223,30.111088514328003
18,75491,-66.22021677359285,61.43500097323123,0.4374555292472775,0.045006513595581055,31.78747057914734
19,79487,-67.87580954785957,61.43500097323123,0.3933268996354725,0.04743027687072754,33.42865705490112
20,83483,-65.54778095825186,61.43500097323123,0.4633673445620973,0.049857139587402344,35.11176657676697
