iteration,timesteps,mean_population_return,gbest_fitness,mean_velocity,time_pso_cumulative,time_total_cumulative
0,999,-50.130995124801906,-50.130995124801906,0.0,0.0,0.44629383087158203
1,1998,-50.99037796931986,-50.130995124801906,0.0,0.0,0.9067287445068359
2,2997,-51.27782329266914,-50.130995124801906,0.0,0.0,1.360257863998413
3,3996,-49.99380461380692,-49.99380461380692,0.0,0.0,1.814535140991211
4,4995,-48.23204230928036,-48.23204230928036,0.0,0.0,2.27207350730896
5,5994,-50.69989252787897,-48.23204230928036,0.0,0.0,2.7288901805877686
6,6993,-48.49916825542479,-48.23204230928036,0.0,0.0,3.1850249767303467
7,7992,-49.30000403100079,-48.23204230928036,0.0,0.0,3.6404857635498047
8,8991,-47.43202094046546,-47.43202094046546,0.0,0.0,4.097620725631714
9,9990,-47.59602685531655,-47.43202094046546,0.0,0.0,4.549553632736206
10,10989,-46.674350786639835,-46.674350786639835,0.0,0.0,5.006889343261719
11,11988,-46.34191668558648,-46.34191668558648,0.0,0.0,5.459144830703735
12,12987,-45.6407578375053,-45.6407578375053,0.0,0.0,5.914259672164917
13,13986,-45.49935388923281,-45.49935388923281,0.0,0.0,6.3693952560424805
14,14985,-43.7584692117059,-43.7584692117059,0.0,0.0,6.8253045082092285
15,15984,-43.58286131851314,-43.58286131851314,0.0,0.0,7.281702041625977
16,16983,-42.53749711964031,-42.53749711964031,0.0,0.0,7.735720157623291
17,17982,-42.79440421558014,-42.53749711964031,0.0,0.0,8.192173480987549
18,18981,-40.136664146611075,-40.136664146611075,0.0,0.0,8.649070262908936
19,19980,-38.29032837610951,-38.29032837610951,0.0,0.0,9.110193014144897
20,20979,-36.74428849657146,-36.74428849657146,0.0,0.0,9.563140630722046
21,21978,-37.66249224992904,-36.74428849657146,0.0,0.0,10.016435384750366
22,22977,-34.35969288608641,-34.35969288608641,0.0,0.0,10.471519231796265
23,23976,-35.34910795498259,-34.35969288608641,0.0,0.0,10.921637535095215
24,24975,-33.46629463111607,-33.46629463111607,0.0,0.0,11.374738454818726
25,25974,-35.34222930185161,-33.46629463111607,0.0,0.0,11.826355218887329
26,26973,-33.34641720663381,-33.34641720663381,0.0,0.0,12.275636434555054
27,27972,-32.62221818582403,-32.62221818582403,0.0,0.0,12.727779626846313
28,28971,-31.20405384408333,-31.20405384408333,0.0,0.0,13.187010526657104
29,29970,-32.503781010762644,-31.20405384408333,0.0,0.0,13.643892288208008
30,30969,-29.8364151065302,-29.8364151065302,0.0,0.0,14.097277402877808
31,31968,-29.396780899939642,-29.396780899939642,0.0,0.0,14.549885749816895
32,32967,-28.783036443768776,-28.783036443768776,0.0,0.0,14.999961614608765
33,33966,-26.836467095673,-26.836467095673,0.0,0.0,15.454667091369629
34,34965,-25.88379939694752,-25.88379939694752,0.0,0.0,15.909028053283691
35,35964,-26.29162081399773,-25.88379939694752,0.0,0.0,16.36134362220764
36,36963,-26.108553048102824,-25.88379939694752,0.0,0.0,16.803423643112183
37,37962,-25.24014947264468,-25.24014947264468,0.0,0.0,17.255621671676636
38,38961,-24.664313245391597,-24.664313245391597,0.0,0.0,17.713335275650024
39,39960,-24.155794853025842,-24.155794853025842,0.0,0.0,18.164466619491577
40,40959,-23.182980613883707,-23.182980613883707,0.0,0.0,18.616185426712036
41,41958,-20.834316399981983,-20.834316399981983,0.0,0.0,19.13263964653015
42,42957,-20.335580108383006,-20.335580108383006,0.0,0.0,19.587506771087646
43,43956,-19.42632484509588,-19.42632484509588,0.0,0.0,20.039351224899292
44,44955,-21.090316806518164,-19.42632484509588,0.0,0.0,20.485198736190796
45,45954,-18.94184820409238,-18.94184820409238,0.0,0.0,20.93974256515503
46,46953,-18.474258465645903,-18.474258465645903,0.0,0.0,21.3973605632782
47,47952,-18.71683230582489,-18.474258465645903,0.0,0.0,21.84946036338806
48,48951,-17.57827902131472,-17.57827902131472,0.0,0.0,22.300766706466675
49,49950,-18.000876025944567,-17.57827902131472,0.0,0.0,22.766150951385498
50,50949,-16.05636125341403,-16.05636125341403,0.0,0.0,23.22343611717224
51,51948,-14.91499689242552,-14.91499689242552,0.0,0.0,23.702657461166382
52,52947,-16.41261221285156,-14.91499689242552,0.0,0.0,24.19706964492798
53,53946,-15.076656016015432,-14.91499689242552,0.0,0.0,24.677504539489746
54,54945,-13.98957278741236,-13.98957278741236,0.0,0.0,25.131933212280273
55,55944,-14.487179374536721,-13.98957278741236,0.0,0.0,25.58850932121277
56,56943,-13.077632156186061,-13.077632156186061,0.0,0.0,26.046164512634277
57,57942,-14.096441067714396,-13.077632156186061,0.0,0.0,26.503111839294434
58,58941,-13.478324489572474,-13.077632156186061,0.0,0.0,26.965343475341797
59,59940,-14.309165829776722,-13.077632156186061,0.0,0.0,27.422706842422485
60,60939,-13.047537072222758,-13.047537072222758,0.0,0.0,27.88090705871582
61,61938,-13.41431497573445,-13.047537072222758,0.0,0.0,28.334505558013916
62,62937,-11.54859208872641,-11.54859208872641,0.0,0.0,28.791666984558105
63,63936,-12.856724582366338,-11.54859208872641,0.0,0.0,29.244843244552612
64,64935,-10.736664917440324,-10.736664917440324,0.0,0.0,29.695345163345337
65,65934,-11.470644362320721,-10.736664917440324,0.0,0.0,30.148208379745483
66,66933,-10.033705181588623,-10.033705181588623,0.0,0.0,30.59646701812744
67,67932,-10.171675247504451,-10.033705181588623,0.0,0.0,31.053303956985474
68,68931,-9.941999679111905,-9.941999679111905,0.0,0.0,31.5066397190094
69,69930,-10.14410557794321,-9.941999679111905,0.0,0.0,31.955219745635986
70,70929,-9.409689283001896,-9.409689283001896,0.0,0.0,32.40929174423218
71,71928,-8.774573999500301,-8.774573999500301,0.0,0.0,32.875179290771484
72,72927,-9.436655028143326,-8.774573999500301,0.0,0.0,33.32482361793518
73,73926,-9.386210884796903,-8.774573999500301,0.0,0.0,33.776917934417725
74,74925,-9.2798820764173,-8.774573999500301,0.0,0.0,34.22778081893921
75,75924,-8.448321201931337,-8.448321201931337,0.0,0.0,34.68510913848877
76,76923,-8.273389364223577,-8.273389364223577,0.0,0.0,35.13714051246643
77,77922,-8.305775405168168,-8.273389364223577,0.0,0.0,35.59209322929382
78,78921,-8.254065938009656,-8.254065938009656,0.0,0.0,36.0454843044281
79,79920,-7.492253889279456,-7.492253889279456,0.0,0.0,36.52847623825073
80,80919,-7.716869967415718,-7.492253889279456,0.0,0.0,36.98605728149414
81,81918,-7.156720586445697,-7.156720586445697,0.0,0.0,37.441704511642456
82,82917,-8.285383331457766,-7.156720586445697,0.0,0.0,37.87675189971924
83,83916,-7.1852857655453635,-7.156720586445697,0.0,0.0,38.33604860305786
84,84915,-6.82797876524635,-6.82797876524635,0.0,0.0,38.79443573951721
85,85914,-6.497632711672141,-6.497632711672141,0.0,0.0,39.25544810295105
86,86913,-6.751513148646176,-6.497632711672141,0.0,0.0,39.719531536102295
87,87912,-6.1432788194494155,-6.1432788194494155,0.0,0.0,40.19441509246826
88,88911,-6.640637421810396,-6.1432788194494155,0.0,0.0,40.6506552696228
89,89910,-6.405618018739711,-6.1432788194494155,0.0,0.0,41.111080169677734
90,90909,-6.11473281345711,-6.11473281345711,0.0,0.0,41.57089877128601
91,91908,-5.539027531136793,-5.539027531136793,0.0,0.0,42.03039479255676
92,92907,-6.1569245847075,-5.539027531136793,0.0,0.0,42.48205828666687
93,93906,-5.291204376370428,-5.291204376370428,0.0,0.0,42.93586492538452
94,94905,-5.381657224528434,-5.291204376370428,0.0,0.0,43.39059019088745
95,95904,-4.928185563144156,-4.928185563144156,0.0,0.0,43.83230137825012
96,96903,-5.312505553231112,-4.928185563144156,0.0,0.0,44.291062355041504
97,97902,-5.066819083632121,-4.928185563144156,0.0,0.0,44.746713638305664
98,98901,-4.2936080782165975,-4.2936080782165975,0.0,0.0,45.20612645149231
99,99900,-4.3613358453431985,-4.2936080782165975,0.0,0.0,45.66350317001343
