iteration,timesteps,mean_population_return,gbest_fitness,mean_velocity,time_pso_cumulative,time_total_cumulative
0,3996,-51.73874258967555,-50.24496476053207,0.10861576479094634,0.0024175643920898438,1.6860339641571045
1,7992,-50.96966832172487,-50.24496476053207,0.06960836546828172,0.0048367977142333984,3.3801188468933105
2,11988,-51.069429234507865,-49.98331757654547,0.06527995781341035,0.007286787033081055,5.065948486328125
3,15984,-51.912148695934555,-49.98331757654547,0.05151703002879263,0.009707927703857422,6.757153749465942
4,19980,-52.31396962548257,-49.841166733006155,0.04621732627856545,0.012149333953857422,8.447415351867676
5,23976,-52.856654630393315,-49.841166733006155,0.04061378845861847,0.014583349227905273,10.128292798995972
6,27972,-52.048259184187444,-49.841166733006155,0.03846097779959174,0.016991376876831055,11.820785760879517
7,31968,-52.712077388867876,-49.841166733006155,0.03598113330580028,0.01940774917602539,13.45132064819336
8,35964,-51.58746481483802,-49.841166733006155,0.03134369228584027,0.021852493286132812,15.122627019882202
9,39960,-52.39941326316917,-49.42602660141834,0.03689292953640688,0.02427387237548828,16.808072328567505
10,43548,-22.286520660811906,68.11436681400694,0.03194285165851137,0.02667999267578125,18.326563596725464
11,47544,-51.715174098435355,68.11436681400694,0.031121523423020592,0.029108524322509766,20.008708953857422
12,51540,-52.515378585337984,68.11436681400694,0.028628515969363173,0.03153181076049805,21.688339948654175
13,55536,-51.158727604399296,68.11436681400694,0.024636086978716772,0.033959388732910156,23.359444618225098
14,59532,-52.94526416278949,68.11436681400694,0.02043983418843709,0.03641366958618164,25.042137145996094
15,63528,-52.41068190588172,68.11436681400694,0.020118302730095038,0.03888201713562012,26.617267608642578
16,67524,-51.369060996077025,68.11436681400694,0.018750627508520017,0.04128623008728027,28.302773237228394
17,71520,-52.48742587571877,68.11436681400694,0.018476576269936883,0.043702125549316406,29.98102068901062
18,75516,-51.35136860026462,68.11436681400694,0.016585163934256082,0.046133995056152344,31.669126510620117
19,79512,-52.391971448939564,68.11436681400694,0.016645906915073283,0.048581600189208984,33.354673862457275
20,83508,-52.41494827197647,68.11436681400694,0.016378560974512117,0.05097699165344238,35.03679013252258
21,87504,-51.08860663670491,68.11436681400694,0.015336323724893321,0.05338859558105469,36.71560049057007
22,91500,-50.99079279278865,68.11436681400694,0.013027795592539144,0.05583310127258301,38.39970088005066
23,95496,-52.81586396490612,68.11436681400694,0.013689566445204296,0.05823945999145508,40.083369970321655
24,99492,-52.168294316881855,68.11436681400694,0.011969499585185468,0.060678720474243164,41.76653075218201
25,103488,-53.56942061541888,68.11436681400694,0.011803539115395065,0.06309652328491211,43.45920777320862
26,107330,-25.27520122618245,68.11436681400694,0.012388155338287885,0.06552529335021973,45.08854150772095
27,111326,-52.809713809662625,68.11436681400694,0.011274135831627063,0.06792593002319336,46.76721549034119
28,115322,-52.69179138739685,68.11436681400694,0.010973786552702744,0.07034420967102051,48.453919410705566
29,119318,-52.565109415099975,68.11436681400694,0.011902351576801657,0.07275605201721191,50.13866686820984
30,123314,-52.73267843418071,68.11436681400694,0.01047685308315392,0.07518672943115234,51.82107973098755
31,126971,-22.285040282812805,68.11436681400694,0.010867549025403735,0.07760405540466309,53.37401795387268
32,130967,-53.11373278432656,68.11436681400694,0.011658728066582367,0.08004879951477051,55.054762840270996
33,134963,-51.500899543021575,68.11436681400694,0.009694224208942614,0.08247494697570801,56.74185562133789
34,138959,-52.13799277383196,68.11436681400694,0.01185027904076768,0.08510541915893555,58.43206572532654
35,142955,-53.742395696129535,68.11436681400694,0.010442721366416663,0.08752751350402832,60.091689586639404
36,146951,-52.75086722246045,68.11436681400694,0.0096937443429072,0.08928680419921875,61.74843406677246
37,150947,-51.23360590365255,68.11436681400694,0.010224758896843664,0.0917215347290039,63.40718173980713
38,154943,-52.01997525861052,68.11436681400694,0.010707686678090664,0.09415245056152344,65.08797550201416
39,158939,-51.88408837451166,68.11436681400694,0.012302511975576635,0.09657073020935059,66.77648735046387
40,162935,-53.675853319563416,68.11436681400694,0.01053520305764063,0.09908485412597656,68.46076560020447
41,166931,-54.3526689064044,68.11436681400694,0.010985192514324029,0.10151410102844238,70.21921920776367
42,170927,-53.13662074459519,68.11436681400694,0.010821748267127467,0.1039581298828125,71.90619111061096
43,174923,-52.14090332743209,68.11436681400694,0.010390702657917115,0.1063833236694336,73.59474205970764
