iteration,timesteps,mean_population_return,gbest_fitness,mean_velocity,time_pso_cumulative,time_total_cumulative
0,7809,-37.11475270329325,60.09541622508008,0.1249765590016198,0.004826784133911133,3.2745463848114014
1,15801,-51.82321515140761,60.09541622508008,0.09337395110716377,0.009652376174926758,6.629173994064331
2,23448,-38.87312199698921,65.50927081307712,0.11736645589033806,0.014449357986450195,9.832854986190796
3,31440,-53.36982658704149,65.50927081307712,0.10942608856151179,0.019270896911621094,13.068335771560669
4,39432,-56.291333221040325,65.50927081307712,0.11004392303792493,0.024051904678344727,16.402299642562866
5,47424,-53.530957792863326,65.50927081307712,0.10722748566851287,0.028860807418823242,19.74197745323181
6,55416,-53.60297180418346,65.50927081307712,0.10602493863760692,0.03366351127624512,23.075732707977295
7,63408,-54.25884029487658,65.50927081307712,0.10676964881713502,0.03844761848449707,26.41568899154663
8,71400,-51.87445406560318,65.50927081307712,0.10341741836080992,0.043401479721069336,29.711263418197632
9,79364,-41.203209887833054,65.50927081307712,0.10090414438829091,0.04819464683532715,33.01715302467346
10,87356,-54.283774421348014,65.50927081307712,0.0978618921134122,0.05297207832336426,36.35995936393738
11,95256,-40.68886895921386,65.50927081307712,0.09349076066843866,0.05777621269226074,39.6622416973114
12,103244,-39.9387606510745,65.50927081307712,0.09594029530957673,0.06256556510925293,42.95400023460388
13,111236,-54.348481290964536,65.50927081307712,0.08669755897218627,0.06739306449890137,46.293763399124146
14,119228,-55.701049755614456,65.50927081307712,0.08910774902947846,0.07219052314758301,49.6313841342926
15,127126,-40.45002685864693,65.50927081307712,0.08718304729804263,0.07697677612304688,52.93626928329468
16,135118,-53.43664038168154,65.50927081307712,0.08327785207490836,0.08176517486572266,56.269484758377075
17,142796,-38.53335786791664,65.50927081307712,0.08734693657295015,0.08652329444885254,59.47811722755432
18,150788,-54.91374501137895,65.50927081307712,0.08003759426251886,0.09126114845275879,62.74350047111511
19,158488,-37.65755257713972,65.50927081307712,0.08374326069211488,0.09604430198669434,65.97302532196045
20,166480,-53.02169831218048,65.50927081307712,0.0828794811937509,0.10086536407470703,69.30985403060913
21,174472,-53.80766641860889,65.50927081307712,0.08289310114092327,0.10567450523376465,72.60997319221497
22,182105,-27.113454334767383,65.50927081307712,0.08116305831520419,0.11047601699829102,75.79142904281616
23,190097,-53.9140557448697,65.50927081307712,0.08281519411580769,0.11526870727539062,79.10390591621399
24,198089,-52.73277568968529,65.50927081307712,0.08347071404153082,0.12004256248474121,82.42216730117798
25,206081,-52.73529164360381,65.50927081307712,0.08021504639015932,0.12488532066345215,85.74036622047424
26,214073,-53.10259143029579,65.50927081307712,0.08113050160214438,0.129685640335083,89.08207964897156
27,222065,-53.14675670254812,65.50927081307712,0.07509118581531636,0.13316679000854492,92.39797067642212
28,230057,-52.38505249664182,65.50927081307712,0.07255089814342291,0.13798213005065918,95.69188261032104
29,238049,-53.394242587083816,65.50927081307712,0.07367060004617088,0.1428511142730713,99.02663683891296
30,246041,-53.41671075572026,65.50927081307712,0.07340908966891999,0.14760613441467285,102.35382270812988
31,254006,-40.34844408249947,65.50927081307712,0.06734252839773294,0.1523911952972412,105.695392370224
32,261998,-52.420378632864754,65.50927081307712,0.07057004070520634,0.15718507766723633,109.0951611995697
33,269990,-52.64683394223239,65.50927081307712,0.06739158145397336,0.16195368766784668,112.31931734085083
34,277982,-52.5792333545615,65.50927081307712,0.07020066342374776,0.1667311191558838,115.66343259811401
35,285974,-54.274881572052536,65.50927081307712,0.06761967628595553,0.17067861557006836,118.97420930862427
36,293756,-39.70029672926334,65.50927081307712,0.0639852376147506,0.17541813850402832,122.22595572471619
37,301748,-52.58682463442384,65.50927081307712,0.06477903928940318,0.18026447296142578,125.55523228645325
38,309740,-53.114285697479545,65.50927081307712,0.06540537249696042,0.1850452423095703,128.8934464454651
39,317732,-53.2808448465424,65.50927081307712,0.06696412318394453,0.18980979919433594,132.1822648048401
40,325724,-53.12747603318853,65.50927081307712,0.06426150140552117,0.19466233253479004,135.51358222961426
41,333716,-53.062902128181335,65.50927081307712,0.06649977381623881,0.19952988624572754,138.84588146209717
42,341313,-25.354474662842257,65.50927081307712,0.06041657038856231,0.2043602466583252,141.98585963249207
43,349305,-53.12979248069799,65.50927081307712,0.06301033193916997,0.2091512680053711,145.31338000297546
44,357297,-52.625107761067014,65.50927081307712,0.06471793131536938,0.21393251419067383,148.61037182807922
45,364871,-38.60202123562817,68.14269748770766,0.10420315874008729,0.21750164031982422,151.71383595466614
46,372863,-53.74402074276772,68.14269748770766,0.0880621044738551,0.22226977348327637,154.9784960746765
47,380855,-53.94652345000061,68.14269748770766,0.09436681105892473,0.22704172134399414,158.29962873458862
48,388690,-42.10629981959389,68.14269748770766,0.09353770476341845,0.2318582534790039,161.5755820274353
49,396682,-58.31619923550586,68.14269748770766,0.09454171164959137,0.2366626262664795,164.85861229896545
50,404674,-59.50694861102365,68.14269748770766,0.09393600500022461,0.24148035049438477,168.18748378753662
51,412637,-40.658152244572165,68.14269748770766,0.09127905634730789,0.24623322486877441,171.41953420639038
52,420629,-55.77468032567215,68.14269748770766,0.09551290592727518,0.24969768524169922,174.65710735321045
53,428586,-45.483586766622686,68.14269748770766,0.09783429368066468,0.25314974784851074,177.94550967216492
54,436578,-55.119839480834784,68.14269748770766,0.09363604834028853,0.25808143615722656,181.22195315361023
55,444343,-42.19880799657011,68.14269748770766,0.09139987734878169,0.26284265518188477,184.46714854240417
56,452335,-55.68402463852993,68.14269748770766,0.09317527733842976,0.2675750255584717,187.80702996253967
57,460327,-54.57357080753444,68.14269748770766,0.09288810873320992,0.27236318588256836,191.5946409702301
58,468319,-55.25229200558433,68.14269748770766,0.09072531790869627,0.27721238136291504,195.02001452445984
59,476311,-54.96210014631501,68.14269748770766,0.09454752340531869,0.28203392028808594,198.27929782867432
